s,Code,Name,Author,Category,Price,Page,Ex.,Stock(s),Rating,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Book_No.
1,ADM_KE001,EMPIRE OF PAIN: THE SECRET HISTORY OF THE SACKLER DYNASTY,"KEEFE, PATRICK RADDEN",Administration / Management,553.35,480,"The Sackler name adorns the walls of many storied institutions Harvard; the Metropolitan Museum of Art; Oxford; the Louvre. They are one of the richest families in the world, known for their lavish donations in the arts and the sciences. The source of the family fortune was vague, however, until it emerged that the Sacklers were responsible for making and marketing Oxycontin, a blockbuster painkiller that was a catalyst for the opioid crisis-an international epidemic of drug addiction which has killed nearly half a million people.
In this masterpiece of narrative reporting and writing, Patrick Radden Keefe exhaustively documents the jaw-dropping and ferociously compelling reality. Empire of Pain is the story of a dynasty: a parable of 21st century greed.",587,5,,,,,,,,,,,,1
2,ADM_AL002,"HOW TO FIX MEETINGS: MEET LESS, FOCUS ON OUTCOMES AND GET STUFF DONE",ALLCOTT & WATTS,Administration / Management,404.55,304,"Providing realistic and practical advice, productivity professionals Graham Allcott and Hayley Watts show how to reduce the amount of time you spend in meetings, and ensure that the ones that you do attend are genuine opportunities to collaborate and get things done.


Learn how to hold and attend meetings where the focus is on the outcome; get to grips with the 40-20-40 Continuum, so that only 20 per cent of your attention for each meeting is spent in the meeting itself - the rest is in the preparation and the follow-through; and understand when it's necessary to say that you won't be attending - and how best to do so.",1777,5,,,,,,,,,,,,2
3,ADM_AM003,The Bitcoin Standard : The Decentralized Alternative to Central Banking,"Ammous, Saifedean",Administration / Management,1052.0,224,"""Bitcoin is the digital age's novel, decentralized, and automated solution to the problem of money: accessible worldwide, controlled by nobody. Can this young upstart money challenge the global monetary order? Economist Saifedean Ammous traces the history of the technologies of money to seashells, limestones, cattle, salt, beads, metals, and government debt, explaining what gave these technologies their monetary role, what makes for sound money, and the benefits of a sound monetary regime to economic growth, innovation, culture, trade, individual freedom, and international peace""--",100,5,,,,,,,,,,,,3
4,ADM_DU004,LEADERS IN LOCKDOWN: INSIDE STORIES OF COVID-19 AND THE NEW WORLD OF BUSINESS,"DUNCAN, ATHOLL",Administration / Management,646.35,240,"There will be greater uncertainty and change in the next 20 years than there have been in the last 200. Due to Covid-19, many companies and business leaders have had to rapidly adapt to new practices, working habits and organizational challenges, in what will become the 'new normal'. New technologies and business models will place continually changing demands on business managers and leaders.",31,5,,,,,,,,,,,,4
5,ADM_GR005,MILLIONAIRE SUCCESS HABITS: THE GATEWAY TO WEALTH & PROSPERITY,"GRAZIOSI, DEAN",Administration / Management,832.35,288,"NEW EDITION--REVISED AND UPDATED with all-new chapters on productivity! Legendary business coach and entrepreneur Dean Graziosi takes you from where you are in life to where you want to be, using simple tools to reshape daily routines and open new doors to prosperity--whether you're a fellow entrepreneur, an employee or executive, or a new grad in your first job. Millionaire Success Habits is a book designed with one purpose in mind: to take you from where you are in life to where you want to be in life by incorporating easy-to-implement ""Success Habits"" into your daily routine. Legendary business coach Dean Graziosi has broken down the walls of complexity around success and created simple success recipes that you can quickly put to use in your life to reach the level of wealth and abundance you desire. This book is not about adding more time to your day. It is about replacing those things that are not serving your future with success habits designed specifically to assist you on your journey to a better you.",145,5,,,,,,,,,,,,5
6,ADM_HO006,"LEADER'S GUIDE TO NEGOTIATION, THE: HOW TO USE SOFT SKILLS TO GET HARD RESULTS","HORTON, SIMON",Administration / Management,976.5,235,- No Detail,321,5,,,,,,,,,,,,6
7,ADM_EI007,The Fail-Safe Startup: Your Roadmap for Entrepreneurial Success,"Eisenmann, Tom",Administration / Management,690.0,368,"Creating something from nothing is a daring act. Tom's wisdom and encouragement will give any reader the confidence to take the leap.' Eric Ries, bestselling author of The Lean Startup. If you want your startup to succeed, you need to understand why startups fail. For the past decade, this is a question that Tom Eisenmann has tried to answer. Focusing his research and his MBA class at Harvard University on the mistakes and missteps of entrepreneurs, for the first time, he reveals his findings, and - most importantly - how you can avoid them. Eisenmann's fascinating, often counter-intuitive, advice debunks common Silicon Valley mythology including: The False Promise: How early success, often based on extenuating factors, gives founders the misplaced confidence to expand. The False Start: That the 'fail fast' mentality of many founders can mean launching before they're ready - wasting time and money. The Audacity of Goals: Silicon Valley scoffs at moderate ambitions but the more audacious your goals, the more can go wrong. Drawing on case studies from startups around the world, in all shapes and sizes, The Fail-Safe Startup will show you how to analyse others' failure to ensure your success. ________________ 'A must read for any entrepreneur, investor, or startup team member.' Michelle Zatlyn, CEO, Cloudfare 'Eisenmann has truly helped illuminate a path to success by shining a spotlight on common startup failure patterns. His insights are invaluable, whether you're just getting started, or you're eyeing your endgame.' Jenn Hyman, CEO, Rent the Runway",57,5,,,,,,,,,,,,1
8,ADM_WE008,LEADERSHIP LANGUAGE: USING AUTHENTIC COMMUNICATION TO DRIVE RESULTS,"WESTFALL, CHRIS",Administration / Management,697.5,192,"The only language you need to know to change your results.Inside each of us is a vision of how things could be. Yet most people remain frustrated bya lack of impact, unable to connect and inspire the people they care about the most. Why?


There�s a language we understand, but rarely use. A language that�s sincere. Powerful. Compelling. A language of words�and actions�that can�t be denied.

Leadership Language will help you to peel back the ineffective �business speak�, so you can change the conversation. And change your results. Imagine what could happen when you replace frustration with an irresistible vision�for yourself, your team and your organization.",118,5,,,,,,,,,,,,2
9,ADM_TA009,Blockchain Revolution : How the Technology Behind Bitcoin and Other Cryptocurrencies Is Changing the World,"Tapscott, Don / Tapscott, Alex",Administration / Management,435.0,358,"Discusses blockchain technology, which facilitates peer-to-peer transactions without the need for such intermediaries as a bank or government, explaining such recent developments in the world of blockchain as cryptoassets, ICOs, and smart contracts.",250,5,,,,,,,,,,,,3
10,ADM_CA010,STARTING A BUSINESS WHEN YOU'RE AFRAID TO: THE STEP-BY-STEP BLUEPRINT TO GETTING,"CAVALLARO, MICHAELA",Administration / Management,441.75,192,"This comprehensive guide provides all of the information you need to evaluate your big idea, find the perfect space, hire the right staff, and get a steady stream of customers coming in the door. From legal and accounting, to HR and inventory management, StartiYour Own Business and Be Free guides entrepreneurs through the essential steps and strategies to launch a company that will stand the test of time.",97,5,,,,,,,,,,,,4
11,ADM_DA011,How to Win Friends and Influence People,Dale Carnegie,Administration / Management,309.0,482,- No Detail,69,5,,,,,,,,,,,,5
12,ADM_CL012,"RICHEST MAN IN BABYLON, THE","CLASON, GEORGE S.",Administration / Management,274.35,160,"Countless readers have been helped by the famous,Babylonian parables, hailed as the greatest of,all inspirational works on the subject of thrift,financial planning and personal wealth. in simple,language, these fascinating and informative,stories will set readers on a sure path to,prosperity and its accompanying joys.",971,5,,,,,,,,,,,,6
13,ADM_BR013,BUSINESS ADVENTURES,"BROOKS, JOHN",Administration / Management,488.25,464,"What do the $350 million Ford Motor Company disaster known as the Edsel, the fast and incredible rise of Xerox, and the unbelievable scandals at General Electric and Texas Gulf Sulphur have in common? Each is an example of how an iconic company was defined by a particular moment of fame or notoriety.



These notable and fascinating accounts are as relevant today to understanding the intricacies of corporate life as they were when the events happened.


Stories about Wall Street are infused with drama and adventure and reveal the machinations and volatile nature of the world of finance. John Brooks's insightful reportage is so full of personality and critical detail that whether he is looking at the astounding market crash of 1962, the collapse of a well-known brokerage firm, or the bold attempt by American bankers to save the British pound, one gets the sense that history really does repeat itself.


This business classic written by longtime New Yorker contributor John Brooks is an insightful and engaging look into corporate and financial life in America.",111,5,,,,,,,,,,,,7
14,ADM_ST014,LEADERSHIP HACK,"STEIN, SCOTT",Administration / Management,739.25,256,LEADERSHIP HACK,75,5,,,,,,,,,,,,8
15,ADM_BE015,"YOU'RE NOT BROKE, YOU'RE PRE RICH","BELLET, EMILIE",Administration / Management,367.35,288,"One out of three millennials today will never be able to buy their own house. Does it have to be like this? You're Not Broke You're Pre-Rich will tell you that it really doesn't; you can have your avocado on toast and stop renting and start saving too. This essential handbook will help debunk the financial jargon and break the money taboo. Packed with actionable tips and no-nonsense practical advice, You're Not Broke You're Pre-Rich will teach you how to make your savings work for you, how you could invest your money, why you need to understand your pension and why your financial health is just as important as your mental and physical health.",55,5,,,,,,,,,,,,9
16,ADM_GR016,MARKETING ANALYTICS,"GRIGSBY, MIKE",Administration / Management,1390.35,325,- No Detail,70,5,,,,,,,,,,,,10
17,ADM_SO017,MANAGEMENT 101,"SOUNDERING, STEPHEN",Administration / Management,553.35,240,"Learn the concepts and strategies of management in order to manage your employees successfully.
Effective employee management is imperative to a business' success, but all too often management books turn the important details of best practices into tedious reading that would put even a CEO to sleep. 'Management 101' cuts out the boring explanations of management policies, and instead provides hand-on lessons that keep you engaged as you learn how to manage productive, happy employees.

From hiring and firing to delegating and coaching, this primer is packed with hundreds of entertaining tidbits and concepts that you won't be able to get anywhere else.
So whether you're a business owner, a middle-manager with many direct reports, or an entry-level employee learning to supervise interns, 'Management 101' has all the answers--even the ones you didn't know you were looking for.",44,5,,,,,,,,,,,,1
18,ART_CA001,The Fashion Design Reference + Specification Book,"Calderin, Jay",Arts / Design / Decoration,826.0,288,"Guides students and professionals through the fashion design process, from creating a garment to marketing it, in an updated edition that includes new information on digital technology, portfolio building, and other industry topics.",82,5,,,,,,,,,,,,2
19,ART_ST002,Think Like a Street Photographer,"Stuart, Matt",Arts / Design / Decoration,662.0,128,"Never does that old maxim ""the harder I practice, the luckier I get"" ring truer.' - Matt Stuart Street photography may look like luck, but you have to get out there and hone your craft if you want to shake up those luck vibes. Matt Stuart never goes out without his trusty Leica and, in a career spanning twenty years, has taken some of the most accomplished, witty and well-known photographs of the streets. From understanding how to be invisible on a busy street, to anticipating a great image in the chaos of a crowd, Matt Stuart reveals in over 20 chapters the hard-won skills and secrets that have led to his greatest shots. He explains his purist and uniquely playful approach to street photography leaving the reader full of ideas to use in their own photography. Illustrated throughout with 100 of Stuart's images, this is a unique opportunity to learn from one of the finest street photographers around.",99,5,,,,,,,,,,,,3
20,ART_FA003,Textilepedia,Fashionary,Arts / Design / Decoration,1374.0,121,"Textilepedia encompasses practical tips for a range of textiles with detailed visuals � from deciphering different types of materials to understanding your finishing options
A balance between text and imagery; it acts as a quick easy-to-navigate guide � simplifying complicated fabric and fibre information using comparisons and relatable stories",48,5,,,,,,,,,,,,4
21,ART_AR004,New Retro Illustrations,"Artists, Various",Arts / Design / Decoration,1097.0,236,"�New retro� means �appreciating and enjoying something old while reimagining it into something modern.� This book introduces 40 up-and-coming illustrators working in this �new retro� style. Through the 300 illustrations showcased in this one book, readers can appreciate and enjoy retro culture, items and motifs reimagined and transformed into something new.",61,5,,,,,,,,,,,,5
22,ART_ZO005,"MICHELANGELO: THE COMPLETE PAINTINGS, SCULPTURES AND ARCHITECTURE","ZOLLNER, FRANK",Arts / Design / Decoration,674.25,421,"MICHELANGELO: THE COMPLETE PAINTINGS, SCULPTURES AND ARCHITECTURE",167,5,,,,,,,,,,,,6
23,ART_ZA006,KAWAII DOODLE CLASS,ZAINAB KHAN,Arts / Design / Decoration,511.5,144,"Learn how to draw kawaii (cute!) with this how-to book full of charming food and drink items, elements from nature, doodle monsters, and more!",132,5,,,,,,,,,,,,7
24,ART_WA007,Palette Perfect,"Wager, Lauren",Arts / Design / Decoration,882.0,302,"Aimed to fashion students and designers, Palette Perfect is both a practical guide and an inspirational book that proposes a reflection on the universe of colour combinations, the moods and atmospheres they evoke and how we associate particular places and emotions to special colours. Each chapter explores a particular mood and describes the corresponding feelings and colour combinations, using as examples exquisite photographs of objects, still-lives, landscapes, interiors and fashion. At the end of each chapter, a wide variety of palettes representing the chapter's particular mood or atmosphere is included.",76,5,,,,,,,,,,,,8
25,ART_MI008,HOW TO DRAW ALMOST EVERYTHING: AN ILLUSTRATED SOURCEBOOK,"MIYATA, CHIKA",Arts / Design / Decoration,553.35,240,Not sure how to start your drawing of a flamingo or a flying squirrel? Businessman? Bat? Baobab tree? How to Draw Almost Everything is here to help!,3246,5,,,,,,,,,,,,9
26,ART_BA009,The Little Book of Chanel,"Baxter-Wright, Emma",Arts / Design / Decoration,590.0,160,A concise and illustrated biography on one of the world's most influential couturiers and founder of a global fashion brand.,119,5,,,,,,,,,,,,10
27,ART_FA010,Fashionary Bag Design,Fashionary,Arts / Design / Decoration,1148.0,442,"Fashionary Bag Design book is the most practical bag encyclopedia, a complete handbook for bag designers and bag lovers. Differential from ordinary bag design books, the Fashionary Bag Design is a complete handbook focusing on the practical needs of handbag designers.

Fashionary's Bag Design encyclopedia is the most comprehensive resource for bag designers and bag lovers. Focusing on the specific needs of bag designers, Fashionary has provided essential information on bag anatomy, manafacturing, materials and much more in one compact, convenient volume.",144,5,,,,,,,,,,,,1
28,ART_CH011,SPIRITED AWAY: 30 POSTCARDS,CHRONICLE BOOKS,Arts / Design / Decoration,381.3,30,"A must-have for animation fans of all ages, this postcard collection celebrates the award-winning masterpiece Spirited Away from Studio Ghibli, the legendary animation studio in Japan.",987,5,,,,,,,,,,,,2
29,ART_CA012,Graphic Design for Everyone,"Caldwell, Cath",Arts / Design / Decoration,771.0,224,"Use design to transform your ideas into powerful visuals that connect with the right audience, define your brand, or take your project to the next level. Students, entrepreneurs, community groups, social media influencers, bloggers or campaigners: this practical guide is for you, and everyone else who wants to learn how to communicate visually, combining the building blocks of type, photography, illustration, and colour to create designs that inform, influence, and enthral. All the key principles of graphic design are explained via a series of specially created, beautifully streamlined graphics that show, rather than tell, you what you need to know. In addition, detailed how-to demonstrations, hands-on workshops, and inspirational galleries of the best design will help you to achieve your aims, from creating a brand identity or setting the right mood by choosing the best typeface, to organizing the elements of a layout to boost your message and meaning. Ten step-by-step projects help you create your own bespoke designs - for websites, digital newsletters, e-commerce, invitations, posters, sales materials, and more. There's also plenty of practical advice, including tips on publishing online, dealing with printers, commissioning professionals, and finding free design tools. If you're ready to use the power of design to take your personal project or burgeoning business to the next level, Graphic Design for Everyone is a one-stop resource to becoming an effective, inspirational visual communicator.",33,5,,,,,,,,,,,,3
30,ART_BE013,MINI PUSHEEN COL. BOOK,"BELTON, CLAIRE",Arts / Design / Decoration,265.05,96,"Pusheen returns in a delightful, miniature coloring book with one-sided, perforated pages for fans of I Am Pusheen the Cat. The Internet's favorite chubby, tubby tabby is back in this miniature version of the Pusheen Coloring Book, now with perforated pages so you can easily tear out your creations to share and show-off--purr-fect for cat lovers and coloring book fans everywhere!",12,5,,,,,,,,,,,,4
31,CAR_KI001,Complete Writing Guide,"King, Graham",Career Academic Textbooks,441.0,832,"8 books condensed into one, this compendium writing guide is for everyone looking to improve their writing skills, grammar, spelling and punctuation in one easy step.",679,5,,,,,,,,,,,,5
32,CAR_LE002,Medical School Interviews,"Lee, George / Picard, Olivier",Career Academic Textbooks,1121.0,???,"Contains up-to-date NHS issues and extensive information on the MMI process. Presents a look at over 150 medical school interview questions. This book provides with techniques to address various types of questions, analyses good and bad examples of answers, teaches you how to add depth to your answers.",315,5,,,,,,,,,,,,6
33,CAR_CU003,Cambridge Vocabulary for Ielts,"Cullen, Pauline",Career Academic Textbooks,819.0,174,The book covers the vocabulary needed by students aiming for band 6 in the IELTS test and provides students with practice of test tasks from each paper.,24,5,,,,,,,,,,,,7
34,CAR_PI004,Complete Biology for Cambridge Igcse Rg Revision Guide,"Pickering, Ron",Career Academic Textbooks,839.0,182,"The Complete Biology for Cambridge IGCSE (R) Revision Guide Third Edition is for the previous syllabus, last examination 2022. The guide provides everything students need to build exam confidence, including practice questions and answers, as well as revision and assessment advice from an experienced teacher.",98,5,,,,,,,,,,,,8
35,CAR_NO005,Complete Chemistry for Cambridge IGCSE Workbook,"Norris, Roger",Career Academic Textbooks,448.0,178,"Directly supporting the bestselling Complete Chemistry for Cambridge IGCSE Third Edition, this Workbook is matched to the previous syllabus, last examination 2022. It equips students with essential practice and fully develops the sophisticated scientific skills key to achievement in assessment.",176,5,,,,,,,,,,,,9
36,CAR_PR006,"Princeton Review Ap Computer Science a Prep, 2021",Princeton Review (COR),Career Academic Textbooks,590.0,419,- No Detail,39,5,,,,,,,,,,,,10
37,CAR_PR007,The Princeton Review 5 Practice Exams for the GED Test,Princeton Review (COR),Career Academic Textbooks,693.0,610,"Providing five complete practice exams, a guide for prospective GED test-takers includes 830 realistic practice questions, as well as accompanying answer explanations. Original.",418,5,,,,,,,,,,,,1
38,CAR_PH008,The College Panda's 10 Practice Tests for the SAT Math,"Phu, Nielson",Career Academic Textbooks,1118.0,268,- No Detail,111,5,,,,,,,,,,,,2
39,CAR_MO009,Cambridge Igcse Mathematics Coursebook Core,"Morrison, Karen",Career Academic Textbooks,1330.0,712,"This Cambridge IGCSE (R) Mathematics Core and Extended series has been authored to meet the requirements of the Cambridge IGCSE (R) Mathematics syllabus (0580/0980), for first examination from 2020. It contains detailed explanations of concepts and clear worked examples, followed by practice exercises to allow students to consolidate and practise the required mathematical skills. This edition comes with a two-year subscription to Cambridge Online Mathematics and complements the print coursebook by offering further explanations, interactive worked examples, worksheets and quizzes. Cambridge Online Mathematics also allows teachers to set classroom and homework exercises to individual students or entire classes, with the ability to track student progress. For additional teaching material - such as core and extension worksheets - go to the Cambridge University Press website.",167,5,,,,,,,,,,,,3
40,CAR_HA010,Pearson Baccalaureate Physics Higher Level,"Hamper, Chris",Career Academic Textbooks,2835.0,521,"This is a completely revised edition of the market-leading Physics textbook for Higher Level. Written for the Science IB Diploma curriculum. Follows the organisational structure of the new Physics guide, with a focus on the Essential Ideas, Understanding, Applications & Skills for complete syllabus-matching. Written by a highly experienced IB author, Chris Hamper, you can be confident that you and your students have all the resources you will need for the new Physics curriculum. This book includes free access to the eBook version. Interactive features include: full text search highlighting bookmarking and note-taking for efficient study and revision extra digital resources, such as videos, quizzes and more What is included? a print textbook an eBook access card.",126,5,,,,,,,,,,,,4
41,CHI_KE001,Deficit Myth,"Kelton, Stephanie",Children's Books,536.0,325,Modern Monetary Theory and the Birth of the People's Economy,71,5,,,,,,,,,,,,5
42,CHI_BA002,Shadow and Bone,"Bardugo, Leigh",Children's Books,324.0,121,"Enter the Grishaverse with book one of the Shadow and Bone Trilogy by number one New York Times-bestselling author, Leigh Bardugo. Perfect for fans of Laini Taylor and Sarah J. Maas. Now with a stunning new cover and exclusive bonus material: The Demon in the Wood (a Darkling prequel story) and a Q&A with Leigh Bardugo.",321,5,,,,,,,,,,,,6
43,CHI_SI003,Phoebe and Her Unicorn 13,"Simpson, Dana",Children's Books,391.0,174,"With over 1.7 million copies sold, the Phoebe and Her Unicorn series for middle-grade readers is a magical world of unicorns, adventure, and friendship.",150,5,,,,,,,,,,,,7
44,CHI_GR004,Investigators Take the Plunge,"Green, John Patrick / Polk, Aaron (ILT)",Children's Books,292.0,200,"""S.U.I.T. headquarters is under attack, and Mango and Brash are going undercover and underground disguised as city sewer workers to unclog a sticky situation. But when their search for the criminal Crackerdile backfires, the toilets they travel through back up--and the InvestiGators take the blame for it! Can Mango and Brash restore their good name and put the real culprit behind bars before the whole city is in deep water?""--",1239,5,,,,,,,,,,,,8
45,CHI_KI005,Diary of a Wimpy Kid,"Kinney, Jeff",Children's Books,204.0,224,"This was Mom's idea, not mine. But if she thinks I'm going to write down my ""feelings"" in here or whatever, she's crazy. The only reason I agreed to do this at all is because I figure later on when I'm rich and famous, this book is gonna come in handy. But for now I'm stuck with a bunch of morons.",245,5,,,,,,,,,,,,9
46,CHI_RH006,The Guardian of the Dragon Gem,"RH Disney (COR) / Francis, Suzanne (ADP) / Shimabukuro, Denise (ILT) / Di",Children's Books,195.0,24,"Introduces Raya, a lone warrior from the fantasy kingdom of Kumandra who teams up with a crew of misfits in her quest to find the last dragon and bring light and unity back to their world.",100,5,,,,,,,,,,,,10
47,CHI_MO007,Kensuke's Kingdom,"Morpurgo, Michael",Children's Books,284.0,????,"I disappeared on the night before my twelfth birthday. Washed up on an island in the Pacific, Michael struggles to survive on his own. With no food and no water, he curls up to die. When he wakes, there is a plate beside him of fish, of fruit, and a bowl of fresh water. He is not alone ... From the author of the internationally acclaimed War Horse, this is a spellbinding adventure story about friendship and survival. Kensuke's Kingdom was shortlisted for the Whitbread Prize and won the FCB Award",197,5,,,,,,,,,,,,11
48,CHI_MA008,The Wonderful Things You Will Be,"Martin, Emily Winfield",Children's Books,503.0,32,"A gift-appropriate celebration of every child's potential combines sumptuous gatefold spreads with uplifting rhyming text that conveys a caregiver's unconditional love for children, regardless of what they grow-up to be and do. Simultaneous eBook.",133,5,,,,,,,,,,,,12
49,CHI_WA009,The Midnight Gang,"Walliams, David / Ross, Tony (ILL)",Children's Books,286.0,480,"Welcome to the Midnight Gang! Midnight is the time when all children are fast asleep, except of course for... the Midnight Gang. That is when their adventures are just beginning...",367,5,,,,,,,,,,,,13
